Area,Date,Confirmed,Deaths
Baden-Württemberg,2020-03-09T15:00:00+01:00,204,0
Bayern,2020-03-09T15:00:00+01:00,256,0
Berlin,2020-03-09T15:00:00+01:00,48,0
Brandenburg,2020-03-09T15:00:00+01:00,6,0
Bremen,2020-03-09T15:00:00+01:00,4,0
Hamburg,2020-03-09T15:00:00+01:00,17,0
Hessen,2020-03-09T15:00:00+01:00,26,0
Mecklenburg-Vorpommern,2020-03-09T15:00:00+01:00,10,0
Niedersachsen,2020-03-09T15:00:00+01:00,38,0
Nordrhein-Westfalen,2020-03-09T15:00:00+01:00,484,0
Rheinland-Pfalz,2020-03-09T15:00:00+01:00,17,0
Saarland,2020-03-09T15:00:00+01:00,6,0
Sachsen,2020-03-09T15:00:00+01:00,12,0
Schleswig-Holstein,2020-03-09T15:00:00+01:00,9,0
Thüringen,2020-03-09T15:00:00+01:00,2,0
