Area,Date,Confirmed,Deaths
Brandenburg,2020-03-05T15:00:00+01:00,1,0
Berlin,2020-03-05T15:00:00+01:00,13,0
Baden-Württemberg,2020-03-05T15:00:00+01:00,73,0
Bayern,2020-03-05T15:00:00+01:00,70,0
Bremen,2020-03-05T15:00:00+01:00,30,0
Hessen,2020-03-05T15:00:00+01:00,14,0
Hamburg,2020-03-05T15:00:00+01:00,5,0
Mecklenburg-Vorpommern,2020-03-05T15:00:00+01:00,4,0
Niedersachsen,2020-03-05T15:00:00+01:00,18,0
Nordrhein-Westfalen,2020-03-05T15:00:00+01:00,181,0
Rheinland-Pfalz,2020-03-05T15:00:00+01:00,8,0
Saarland,2020-03-05T15:00:00+01:00,1,0
Schleswig-Holstein,2020-03-05T15:00:00+01:00,7,0
Sachsen,2020-03-05T15:00:00+01:00,1,0
Thüringen,2020-03-05T15:00:00+01:00,1,0
